mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17827,Ida  Doraiswamy,Andy Roy Magid,*Semi *Simplicity of *Modules over *Simple *Rings,The University of Oklahoma,UnitedStates,1980,0,0
17828,Randall Philip Dahlberg,Andy Roy Magid,The Structure of Injective Hulls of Lie Modules,The University of Oklahoma,UnitedStates,1982,0,0
17829,Andrew Russell Forsyth,Arthur  Cayley,,University of Cambridge,UnitedKingdom,1881,-1,6448
17830,Francis J. Scheid,Norman  Levinson,On the Asymptotic Shape of the Cavity behind an Axially Symmetric Nose Moving through an Ideal Fluid,Massachusetts Institute of Technology,UnitedStates,1948,3,59
17831,Robert Benjamin Davis,Norman  Levinson,Boundary Value Problem Existence Theorems for Third Order Partial Differential Equations of Semi-Elliptic Type,Massachusetts Institute of Technology,UnitedStates,1951,2,6
17832,Violet B. Haas,Norman  Levinson,Singular Perturbations of an Ordinary Differential Equation,Massachusetts Institute of Technology,UnitedStates,1951,-1,29
17833,Jack  Kotik,Norman  Levinson,Existence and Uniqueness Theorems for Water Waves,Massachusetts Institute of Technology,UnitedStates,1952,0,0
17834,John Edward George Farina,,,,,Ph.D.,-1,-1
17835,Harold Anthony Knapp Jr.,Norman  Levinson,Potentials Uniquely Determined from their Phase Shifts in a Schrödinger Equation,Massachusetts Institute of Technology,UnitedStates,1953,0,0
17836,Seymour  Haber,Norman  Levinson,A Boundary Value Problem for a Singularly Perturbed Differential Equation,Massachusetts Institute of Technology,UnitedStates,1954,-1,-1
17837,Leopold  Flatto,Norman  Levinson,Periodic Solutions Associated with Singular Perturbations of a System of Non-Linear Differential Equations,Massachusetts Institute of Technology,UnitedStates,1955,-1,-1
17838,Victor Julius Mizel,Norman  Levinson,Boundary Layer Problem for an Elliptic Equation in a Neighborhood of a Singular Point,Massachusetts Institute of Technology,UnitedStates,1955,4,7
17839,Robert R. D. Kemp,Norman  Levinson,Eigenvalue Problems for Non-Self-Adjoint Boundary Value Problems on the Interval (negative infinity infinity),Massachusetts Institute of Technology,UnitedStates,1956,0,0
17840,Redmond R. O'Brien,Norman  Levinson,Singular Perturbation of a Boundary Value Problem for a Third Order Differential Equation,Massachusetts Institute of Technology,UnitedStates,1957,0,0
